Origin,Category,Problem,Description,
Primary Research,Governance Risk and Compliance,Shadow AI adoption,Employees or teams using AI tools without governance or security oversight.,
Primary Research,Governance Risk and Compliance,Lack of AI governance frameworks,Organizations deploying AI without formal governance policies or oversight mechanisms.,
Primary Research,Governance Risk and Compliance,Regulatory uncertainty,Industrial or enterprise AI projects slowed by unclear or evolving regulatory requirements.,
Primary Research,Governance Risk and Compliance,Certification and compliance burden,AI solutions needing extensive documentation and traceability to meet industry certification requirements.,
Primary Research,Governance Risk and Compliance,GDPR and privacy concerns,Risks related to compliance with privacy regulations when processing sensitive data with AI.,
Primary Research,Infrastructure and Tooling Constraints,High computational and energy requirements,Large AI models require significant compute resources and energy, especially in robotics contexts.
Primary Research,Infrastructure and Tooling Constraints,Edge deployment limitations,Difficulty embedding large generative models directly on devices such as robots due to hardware limitations.,
Primary Research,Infrastructure and Tooling Constraints,Cloud dependency architectures,Reliance on hybrid cloud architectures to compensate for limited on-device processing power.,
Primary Research,Data-Related Challenges,Context window limitations,AI systems forgetting earlier information when processing large files or datasets.,
Primary Research,Data-Related Challenges,Statistical hallucinations in analysis,AI generating incorrect statistical conclusions when analyzing large datasets.,
Primary Research,Model Development Issues,Prompt interpretation errors,AI systems frequently misinterpreting user instructions or prompts.,
Primary Research,Model Development Issues,Iteration-heavy workflows,Users needing many prompt iterations to achieve acceptable results.,
Primary Research,Model Development Issues,Avatar realism limitations,Generated avatars showing unnatural facial expressions or robotic behaviors.,
Primary Research,Model Development Issues,Temporal inconsistency in video generation,Objects or characters changing appearance across frames in AI-generated video.,
Primary Research,Model Development Issues,Physics inconsistency in generated media,Generated video motion sometimes defying realistic physical behavior.,
Primary Research,Deployment and Integration Challenges,Short output duration limits,Video generation tools limiting output duration requiring manual assembly of longer content.,
Primary Research,Deployment and Integration Challenges,Prompt fidelity problems,AI failing to generate outputs faithful to the prompt description.,
Primary Research,Infrastructure and Tooling Constraints,Credit-based cost escalation,Iterative prompting and experimentation consuming credits and increasing costs significantly.,
Primary Research,Model Development Issues,AI-generated code reliability issues,Generated code often containing errors that the AI struggles to correct.,
Primary Research,Monitoring Maintenance and Lifecycle Management,Technical debt from AI-generated code,Automatically generated code lacking structure or documentation leading to long-term maintenance issues.,
Primary Research,Monitoring Maintenance and Lifecycle Management,Platform dependency risk,Loss of code access or functionality if AI development platforms discontinue services.,
Primary Research,Monitoring Maintenance and Lifecycle Management,Backup and continuity risks,No-code platforms sometimes lacking mechanisms to export or back up generated applications.,
Primary Research,Organizational and Human Factors,Lack of AI literacy in organizations,Decision-makers lacking understanding of AI capabilities and limitations.,
Primary Research,Organizational and Human Factors,Skill misperception,People assuming basic library knowledge is sufficient for AI expertise.,
Primary Research,Organizational and Human Factors,Low organizational AI maturity,Companies unsure where to start or how to structure AI initiatives.,
Primary Research,Organizational and Human Factors,Data management immaturity,Organizations lacking proper internal processes to organize and manage data.,
Primary Research,Organizational and Human Factors,Client trust barriers,Smaller companies struggling to gain trust when offering AI solutions compared to large enterprises.,
Primary Research,Organizational and Human Factors,Resistance to AI adoption,Fear among employees that AI may replace their jobs leading to reluctance in adoption.,
Primary Research,Organizational and Human Factors,Fear of AI errors,Organizations concerned about deploying AI systems that may produce incorrect outputs.,
Primary Research,Organizational and Human Factors,Internal misalignment between leadership and teams,Executives pushing AI adoption while operational teams resist or lack ownership.,
Primary Research,Problem Definition and Business Alignment,Misalignment between AI marketing and real capability,Overhyped expectations created by AI marketing narratives.,
Primary Research,Problem Definition and Business Alignment,Overestimation of autonomous agents,Belief that agents operate fully autonomously without supervision or guardrails.,
Primary Research,Problem Definition and Business Alignment,Difficulty integrating probabilistic systems,Organizations struggling to integrate probabilistic AI systems into deterministic workflows.,
Primary Research,Problem Definition and Business Alignment,Business model disruption,AI reducing time-based consulting work and forcing shifts to value-based or subscription pricing models.,
Primary Research,Infrastructure and Tooling Constraints,Scaling infrastructure complexity,AI systems requiring significant infrastructure expertise to scale to production workloads.,
Primary Research,Security Vulnerabilities,Prompt injection attacks,Attackers manipulating prompts to force AI agents to execute unintended actions.,
Primary Research,Security Vulnerabilities,Agent goal hijacking,Malicious inputs redirecting autonomous agents to perform unintended tasks.,
Primary Research,Security Vulnerabilities,Remote code execution vulnerabilities,AI development environments enabling attackers to execute arbitrary code.,
Primary Research,Security Vulnerabilities,Supply chain vulnerabilities in AI tools,Malicious packages or plugins compromising AI development environments.,
Primary Research,Security Vulnerabilities,Data exfiltration via AI agents,Agents accessing and leaking sensitive data through integrations or tools.,
Primary Research,Security Vulnerabilities,Agent privilege abuse,Agents exploiting excessive permissions to access unauthorized systems or data.,
Primary Research,Security Vulnerabilities,Rogue autonomous agents,Agents performing unintended or harmful actions without human oversight.,
Primary Research,Security Vulnerabilities,Human-agent trust exploitation,Users trusting AI outputs excessively, enabling exploitation or unnoticed errors.
Primary Research,Monitoring Maintenance and Lifecycle Management,Lack of observability in AI systems,Limited monitoring tools to track AI outputs and behaviors in production.,
Primary Research,Monitoring Maintenance and Lifecycle Management,AI error detection challenges,Difficulty identifying when AI outputs are incorrect or hallucinated.,
